mean_x,standard deviation_x,variance_x,rms_x,skewness_x,kurtosis_x,mean_y,standard deviation_y,variance_y,rms_y,skewness_y,kurtosis_y,fft_order1_x,fft_order2_x,fft_order3_x,fft_order1_y,fft_order2_y,fft_order3_y,class
0.001354546,0.006529091,0.000042629,0.006668057,-0.063993162,1.462717976,-0.000664048,0.002748954,7.56E-06,0.002827996,-0.048986503,2.543623066,0.00548252,0.000213588,0.001905674,0.001680332,0.000176554,0.000564127,0
0.001335048,0.006538543,4.28E-05,0.006673385,-0.062168831,1.478367648,-0.000674653,0.002736107,7.49E-06,0.002818029,-0.023097625,2.52923569,0.005470019,0.000219408,0.001893392,0.001676582,0.000199456,0.000585575,0
0.001363466,0.006520873,4.25E-05,0.006661831,-0.062380831,1.469375829,-0.000710145,0.002747998,7.55E-06,0.002838248,-0.05134409,2.549713961,0.005467022,0.000226488,0.001879096,0.001681557,0.000189236,0.000592021,0
0.001345388,0.006533552,4.27E-05,0.006670573,-0.062263107,1.472741919,-0.000686932,0.002731523,7.46E-06,0.002816549,-0.02759689,2.559356318,0.005484033,0.000175975,0.001874947,0.001672613,0.000177018,0.000604754,0
0.001358284,0.006531304,4.27E-05,0.006670985,-0.061245381,1.45639345,-0.000684982,0.002742846,7.52E-06,0.002827058,-0.058427964,2.557001731,0.005487073,0.00019142,0.00188887,0.001673947,0.000162072,0.000571044,0
0.001376182,0.00649935,4.22E-05,0.006643388,-0.064854123,1.468365093,-0.000684614,0.002739355,7.50E-06,0.002823582,-0.051059452,2.539151499,0.005460407,0.000192662,0.001864139,0.001668525,0.000173439,0.00058573,0
0.001361231,0.006514603,4.24E-05,0.006655237,-0.064368554,1.468215996,-0.000676628,0.002732943,0.000007469,0.002815432,-0.045516775,2.531402721,0.005458614,0.00018668,0.001886755,0.001681687,0.000219067,0.000573705,0
0.001346687,0.006538001,4.27E-05,0.006675192,-0.056205723,1.464435468,-0.000670209,0.002748298,7.55E-06,0.002828811,-0.046990384,2.568999745,0.005489071,0.00018907,0.001867604,0.001684823,0.000163684,0.000583371,0
0.001373152,0.00653393,4.27E-05,0.006676598,-0.059458156,1.455756646,-0.000640009,0.002731239,7.46E-06,0.002805198,-0.046096052,2.552985475,0.005488352,0.000139968,0.00189204,0.001667832,0.000141947,0.000585905,0
0.001356938,0.006527836,4.26E-05,0.006667315,-0.061930826,1.461646552,-0.000665093,0.002717334,7.38E-06,0.002797518,-0.048727096,2.564076829,0.00548601,0.000161749,0.001892214,0.001656554,0.000132447,0.000579376,0
0.001365839,0.00650752,4.23E-05,0.006649249,-0.065501912,1.468293104,-0.000677721,0.002751496,7.57E-06,0.002833706,-0.065773532,2.556533263,0.005461654,0.000186383,0.001883978,0.001673387,0.000184491,0.000592467,0
0.001347272,0.006517708,4.25E-05,0.006655436,-0.063402858,1.461224273,-0.000669278,0.002748006,7.55E-06,0.002828307,-0.046345273,2.579132696,0.005473042,0.000211421,0.001888568,0.001677222,0.000209642,0.000570007,0
0.001375911,0.006535279,4.27E-05,0.006678485,-0.06573806,1.467420266,-0.000661015,0.002734951,0.00000748,0.002813673,-0.074583362,2.548651566,0.005492359,0.000162179,0.001869128,0.001645872,0.000177446,0.000595406,0
0.001354248,0.006524312,4.26E-05,0.006663317,-0.062694495,1.465427287,-0.000659281,0.002734849,7.48E-06,0.002813166,-0.054090149,2.585797317,0.005480238,0.000181945,0.001877369,0.001661938,0.000136688,0.000571626,0
